===== 2026-09-11 02:17:03 更新 =====
新增 29 / 减少 0 / 变更 113

--- 新增模型（29）---
+ bedrock_mantle/openai.gpt-6-astra  [bedrock_mantle/responses] 入$11 出$55
~ gemini-live-2.5-flash-native-audio  [vertex_ai-language-models/realtime] 入$0.5 出$2
~ global.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.3 出$2.5
~ gpt-4o-mini  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-2024-07-18  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-search-preview  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-search-preview-2025-03-11  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-search-preview  [openai/chat] 入$2.5 出$10
~ gpt-4o-search-preview-2025-03-11  [openai/chat] 入$2.5 出$10
~ gpt-5.1  [openai/chat] 入$1.25 出$10
~ gpt-5.1-2025-11-13  [openai/chat] 入$1.25 出$10
~ gpt-5.2  [openai/chat] 入$1.75 出$14
~ gpt-5.2-2025-12-11  [openai/chat] 入$1.75 出$14
~ gpt-5.4  [openai/chat] 入$2.5 出$15
~ gpt-5.4-2026-03-05  [openai/chat] 入$2.5 出$15
~ gpt-5.4-pro  [openai/responses] 入$30 出$180
~ gpt-5.4-pro-2026-03-05  [openai/responses] 入$30 出$180
~ jina-reranker-v2-base-multilingual  [jina_ai/rerank] 入$0.05 出$0
~ scaleway/google/gemma-3-27b-it  [scaleway/chat] 入$0.25 出$0.5
~ scaleway/hcompany/holo2-30b-a3b  [scaleway/chat] 入$0.3 出$0.7
~ scaleway/mistralai/devstral-2-123b-instruct-2512  [scaleway/chat] 入$0.4 出$2
~ scaleway/mistralai/pixtral-12b-2409  [scaleway/chat] 入$0.2 出$0.2
~ scaleway/mistralai/voxtral-small-24b-2507  [scaleway/chat] 入$0.15 出$0.35
~ scaleway/qwen/qwen3-coder-30b-a3b-instruct  [scaleway/chat] 入$0.2 出$0.8
~ us.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.33 出$2.75
~ us.amazon.nova-2-pro-preview-20251202-v1:0  [bedrock_converse/chat] 入$2.188 出$17.5
~ us.amazon.nova-lite-v1:0  [bedrock_converse/chat] 入$0.06 出$0.24
~ us.amazon.nova-micro-v1:0  [bedrock_converse/chat] 入$0.035 出$0.14
~ us.amazon.nova-pro-v1:0  [bedrock_converse/chat] 入$0.8 出$3.2
~ vertex_ai/claude-haiku-4-5  [vertex_ai-anthropic_models/chat] 入$1 出$5
~ vertex_ai/claude-haiku-4-5@20251001  [vertex_ai-anthropic_models/chat] 入$1 出$5
~ vertex_ai/gemini-3.5-transcribe-preview  [vertex_ai/audio_transcription] 入$2 出$12
~ vertex_ai/xai/grok-4.1-fast-non-reasoning  [vertex_ai/chat] 入$0.2 出$0.5
~ vertex_ai/xai/grok-4.1-fast-reasoning  [vertex_ai/chat] 入$0.2 出$0.5
~ vertex_ai/xai/grok-4.20-non-reasoning  [vertex_ai/chat] 入$1.25 出$2.5
~ vertex_ai/xai/grok-4.20-reasoning  [vertex_ai/chat] 入$1.25 出$2.5
~ wandb/MiniMaxAI/MiniMax-M3  [wandb/chat] 入$0.23 出$0.96
~ wandb/Qwen/Qwen3-235B-A22B-Thinking-2507  [wandb/chat] 入$0.1 出$0.1
~ wandb/Qwen/Qwen3.5-35B-A3B  [wandb/chat] 入$0.25 出$1.25
~ wandb/Qwen/Qwen3.6-27B  [wandb/chat] 入$0.6 出$3.6
~ wandb/Qwen/Qwen3.6-35B-A3B  [wandb/chat] 入$0.25 出$1.25
~ wandb/Qwen/Qwen3.8-27B  [wandb/chat] 入$0.4 出$3
~ wandb/deepseek-ai/DeepSeek-R1-0528  [wandb/chat] 入$1.35 出$5.4
~ wandb/deepseek-ai/DeepSeek-V3.1  [wandb/chat] 入$0.55 出$1.65
~ wandb/deepseek-ai/DeepSeek-V4-Flash  [wandb/chat] 入$0.14 出$0.28
~ wandb/deepseek-ai/DeepSeek-V4-Flash-0731  [wandb/chat] 入$0.13 出$0.28
~ wandb/deepseek-ai/DeepSeek-V4-Pro  [wandb/chat] 入$1.15 出$2.55
~ wandb/google/gemma-4-31B-it  [wandb/chat] 入$0.1 出$0.34
~ wandb/moonshotai/Kimi-K2.6  [wandb/chat] 入$0.65 出$3.41
~ wandb/moonshotai/Kimi-K2.7-Code  [wandb/chat] 入$0.71 出$3.5
~ wandb/nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B  [wandb/chat] 入$0.75 出$2.75
~ wandb/nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B  [wandb/chat] 入$0.1 出$0.25
~ wandb/openai/gpt-oss-120b  [wandb/chat] 入$0.03 出$0.17
~ wandb/openai/gpt-oss-20b  [wandb/chat] 入$0.03 出$0.13
~ wandb/zai-org/GLM-4.5  [wandb/chat] 入$5.5e+04 出$2e+05
~ wandb/zai-org/GLM-5.2  [wandb/chat] 入$0.76 出$2.42

--- 补丁变更（add-on-data.json）---
+ 新增补丁 deepseek-flash  [deepseek/chat] 入$0.3 出$1.2
~ 修正补丁 zai/glm-5.3-flash  [zai/chat] 入$0.15 出$0.5

===== 2026-09-11 02:44:15 更新 =====
新增 0 / 减少 0 / 变更 0

（本次无变化）
--- 补丁变更（add-on-data.json）---
~ 修正补丁 deepseek-flash  [deepseek/chat] 入$0.3 出$1.2
~ 修正补丁 deepseek-v4-flash  [deepseek/] 入- 出-
~ 修正补丁 deepseek-v4-flash-vision-exp  [deepseek/] 入- 出-

